day_tg_wuxing,均值,标准差,中位数,天数,上涨占比,均值%,标准差%
土,0.000188,0.011647,0.0,765,0.444444,0.018764,1.164699
木,0.000403,0.013246,0.0,770,0.427273,0.040279,1.324632
水,0.000541,0.012708,0.0,760,0.442105,0.054089,1.270769
火,0.000458,0.012673,0.0,770,0.401299,0.045791,1.26727
金,0.000692,0.012489,0.0,768,0.434896,0.06924,1.248858
