pair,mean_diff_bps,std_diff_bps,t_stat,n_windows
木-金,-4.2746601751,53.415468814830625,-2.049681920333328,656
木-水,25.655843085195144,61.3007381211965,10.719450089869849,656
木-火,32.048905994111344,62.78378458897869,13.074275665129313,656
水-金,-29.930503260295144,39.954841875075864,-19.1865337836925,656
水-火,6.393062908916198,80.65926897990687,2.030049445338354,656
火-金,-36.32356616921134,79.44594696868515,-11.710317054676164,656
土-金,-3.244589081886607,57.98309833281216,-1.4332112348664499,656
土-木,1.0300710932133939,56.57546635264453,0.4663274460432497,656
土-水,26.685914178408535,63.12881781074297,10.826955409562077,656
土-火,33.07897708732472,71.52701072700958,11.844968650834607,656
