day_dz_wuxing,均值,标准差,中位数,天数,上涨占比,均值%,标准差%
土,0.000487,0.021137,0.0,1305,0.498851,0.048708,2.113714
木,-3.5e-05,0.022926,-0.00051,660,0.477273,-0.003482,2.292641
水,0.000435,0.022013,-8.1e-05,644,0.487578,0.043532,2.201273
火,0.00104,0.021555,-0.0004,653,0.490046,0.104007,2.155479
金,-0.000182,0.021952,-0.000782,640,0.476562,-0.018221,2.195215
