day_tg_wuxing,均值,标准差,中位数,天数,上涨占比,均值%,标准差%
土,0.000468,0.021353,-4.2e-05,776,0.490979,0.046826,2.135313
木,0.000481,0.021929,0.0,786,0.496183,0.048118,2.192859
水,0.00175,0.021612,0.000381,776,0.503866,0.174986,2.161192
火,4.6e-05,0.021909,-0.000247,782,0.485934,0.004617,2.190902
金,-0.00087,0.022103,-0.001917,782,0.464194,-0.086958,2.210266
