month,ts_code,return,heavenly_stem,earthly_branch,stem_wuxing,branch_wuxing,month_wuxing
2012-08,801150.SI,,戊,申,土,金,金
2012-09,801150.SI,0.01666,己,酉,土,金,金
2012-10,801150.SI,0.024204,庚,戌,金,土,土
2012-11,801150.SI,-0.113237,辛,亥,金,水,水
2012-12,801150.SI,0.098889,壬,子,水,水,水
2013-01,801150.SI,0.115914,癸,丑,水,土,土
2013-02,801150.SI,0.063504,甲,寅,木,木,木
2013-03,801150.SI,0.032387,乙,卯,木,木,木
2013-04,801150.SI,-0.033656,丙,辰,火,土,土
2013-05,801150.SI,0.125179,丁,巳,火,火,火
2013-06,801150.SI,-0.10813,戊,午,土,火,火
2013-07,801150.SI,0.094881,己,未,土,土,土
2013-08,801150.SI,-0.00051,庚,申,金,金,金
2013-09,801150.SI,0.079141,辛,酉,金,金,金
2013-10,801150.SI,-0.071886,壬,戌,水,土,土
2013-11,801150.SI,0.038412,癸,亥,水,水,水
2013-12,801150.SI,0.009832,甲,子,木,水,水
2014-01,801150.SI,0.022022,乙,丑,木,土,土
2014-02,801150.SI,0.019499,丙,寅,火,木,木
2014-03,801150.SI,-0.043954,丁,卯,火,木,木
2014-04,801150.SI,-0.030767,戊,辰,土,土,土
2014-05,801150.SI,0.018323,己,巳,土,火,火
2014-06,801150.SI,0.028257,庚,午,金,火,火
2014-07,801150.SI,0.036247,辛,未,金,土,土
2014-08,801150.SI,0.026277,壬,申,水,金,金
2014-09,801150.SI,0.097379,癸,酉,水,金,金
2014-10,801150.SI,0.029219,甲,戌,木,土,土
2014-11,801150.SI,-0.000498,乙,亥,木,水,水
2014-12,801150.SI,-0.044078,丙,子,火,水,水
2015-01,801150.SI,0.075015,丁,丑,火,土,土
2015-02,801150.SI,0.057705,戊,寅,土,木,木
2015-03,801150.SI,0.191636,己,卯,土,木,木
2015-04,801150.SI,0.169988,庚,辰,金,土,土
2015-05,801150.SI,0.198816,辛,巳,金,火,火
2015-06,801150.SI,-0.118685,壬,午,水,火,火
2015-07,801150.SI,-0.118775,癸,未,水,土,土
2015-08,801150.SI,-0.127011,甲,申,木,金,金
2015-09,801150.SI,-0.029533,乙,酉,木,金,金
2015-10,801150.SI,0.14693,丙,戌,火,土,土
2015-11,801150.SI,0.027442,丁,亥,火,水,水
2015-12,801150.SI,0.063321,戊,子,土,水,水
2016-01,801150.SI,-0.257304,己,丑,土,土,土
2016-02,801150.SI,-0.029131,庚,寅,金,木,木
2016-03,801150.SI,0.128942,辛,卯,金,木,木
2016-04,801150.SI,-0.017198,壬,辰,水,土,土
2016-05,801150.SI,-0.004547,癸,巳,水,火,火
2016-06,801150.SI,0.041341,甲,午,木,火,火
2016-07,801150.SI,0.046254,乙,未,木,土,土
2016-08,801150.SI,0.034898,丙,申,火,金,金
2016-09,801150.SI,-0.013856,丁,酉,火,金,金
2016-10,801150.SI,0.01795,戊,戌,土,土,土
2016-11,801150.SI,0.018062,己,亥,土,水,水
2016-12,801150.SI,-0.05702,庚,子,金,水,水
2017-01,801150.SI,-0.019042,辛,丑,金,土,土
2017-02,801150.SI,0.024656,壬,寅,水,木,木
2017-03,801150.SI,0.001944,癸,卯,水,木,木
2017-04,801150.SI,-0.0208,甲,辰,木,土,土
2017-05,801150.SI,-0.027247,乙,巳,木,火,火
2017-06,801150.SI,0.04345,丙,午,火,火,火
2017-07,801150.SI,-0.047519,丁,未,火,土,土
2017-08,801150.SI,0.026454,戊,申,土,金,金
2017-09,801150.SI,0.021974,己,酉,土,金,金
2017-10,801150.SI,0.052054,庚,戌,金,土,土
2017-11,801150.SI,-0.042179,辛,亥,金,水,水
2017-12,801150.SI,0.027625,壬,子,水,水,水
2018-01,801150.SI,-0.013064,癸,丑,水,土,土
2018-02,801150.SI,-0.03314,甲,寅,木,木,木
2018-03,801150.SI,0.110416,乙,卯,木,木,木
2018-04,801150.SI,0.001103,丙,辰,火,土,土
2018-05,801150.SI,0.066052,丁,巳,火,火,火
2018-06,801150.SI,-0.088188,戊,午,土,火,火
2018-07,801150.SI,-0.061037,己,未,土,土,土
2018-08,801150.SI,-0.080713,庚,申,金,金,金
