month,ts_code,return,heavenly_stem,earthly_branch,stem_wuxing,branch_wuxing,month_wuxing
2012-08,801140.SI,,戊,申,土,金,金
2012-09,801140.SI,-0.006852,己,酉,土,金,金
2012-10,801140.SI,0.009175,庚,戌,金,土,土
2012-11,801140.SI,-0.09816,辛,亥,金,水,水
2012-12,801140.SI,0.175032,壬,子,水,水,水
2013-01,801140.SI,0.047129,癸,丑,水,土,土
2013-02,801140.SI,0.036245,甲,寅,木,木,木
2013-03,801140.SI,-0.006159,乙,卯,木,木,木
2013-04,801140.SI,-0.022883,丙,辰,火,土,土
2013-05,801140.SI,0.099714,丁,巳,火,火,火
2013-06,801140.SI,-0.159579,戊,午,土,火,火
2013-07,801140.SI,0.065138,己,未,土,土,土
2013-08,801140.SI,0.089846,庚,申,金,金,金
2013-09,801140.SI,0.053419,辛,酉,金,金,金
2013-10,801140.SI,-0.027198,壬,戌,水,土,土
2013-11,801140.SI,0.064889,癸,亥,水,水,水
2013-12,801140.SI,-0.015294,甲,子,木,水,水
2014-01,801140.SI,0.071728,乙,丑,木,土,土
2014-02,801140.SI,0.020439,丙,寅,火,木,木
2014-03,801140.SI,-0.043696,丁,卯,火,木,木
2014-04,801140.SI,-0.014275,戊,辰,土,土,土
2014-05,801140.SI,0.008693,己,巳,土,火,火
2014-06,801140.SI,0.037875,庚,午,金,火,火
2014-07,801140.SI,0.050634,辛,未,金,土,土
2014-08,801140.SI,0.041992,壬,申,水,金,金
2014-09,801140.SI,0.113872,癸,酉,水,金,金
2014-10,801140.SI,0.011031,甲,戌,木,土,土
2014-11,801140.SI,0.042867,乙,亥,木,水,水
2014-12,801140.SI,-0.071588,丙,子,火,水,水
2015-01,801140.SI,0.088105,丁,丑,火,土,土
2015-02,801140.SI,0.081712,戊,寅,土,木,木
2015-03,801140.SI,0.231433,己,卯,土,木,木
2015-04,801140.SI,0.187912,庚,辰,金,土,土
2015-05,801140.SI,0.298878,辛,巳,金,火,火
2015-06,801140.SI,-0.083528,壬,午,水,火,火
