month,ts_code,return,heavenly_stem,earthly_branch,stem_wuxing,branch_wuxing,month_wuxing
2010-06,399006.SZ,,壬,午,水,火,火
2010-07,399006.SZ,0.053428,癸,未,水,土,土
2010-08,399006.SZ,0.059002,甲,申,木,金,金
2010-09,399006.SZ,-0.080961,乙,酉,木,金,金
2010-10,399006.SZ,0.12942,丙,戌,火,土,土
2010-11,399006.SZ,0.109892,丁,亥,火,水,水
2010-12,399006.SZ,-0.037107,戊,子,土,水,水
2011-01,399006.SZ,-0.095408,己,丑,土,土,土
2011-02,399006.SZ,0.068657,庚,寅,金,木,木
2011-03,399006.SZ,-0.083181,辛,卯,金,木,木
2011-04,399006.SZ,-0.094795,壬,辰,水,土,土
2011-05,399006.SZ,-0.07275,癸,巳,水,火,火
2011-06,399006.SZ,-0.000468,甲,午,木,火,火
2011-07,399006.SZ,0.079628,乙,未,木,土,土
2011-08,399006.SZ,0.008997,丙,申,火,金,金
2011-09,399006.SZ,-0.141467,丁,酉,火,金,金
2011-10,399006.SZ,0.077944,戊,戌,土,土,土
2011-11,399006.SZ,-0.017226,己,亥,土,水,水
2011-12,399006.SZ,-0.129582,庚,子,金,水,水
2012-01,399006.SZ,-0.110792,辛,丑,金,土,土
2012-02,399006.SZ,0.133586,壬,寅,水,木,木
2012-03,399006.SZ,-0.077267,癸,卯,水,木,木
2012-04,399006.SZ,0.009745,甲,辰,木,土,土
2012-05,399006.SZ,0.071991,乙,巳,木,火,火
2012-06,399006.SZ,-0.010579,丙,午,火,火,火
2012-07,399006.SZ,-0.068426,丁,未,火,土,土
2012-08,399006.SZ,0.043821,戊,申,土,金,金
2012-09,399006.SZ,-0.024037,己,酉,土,金,金
2012-10,399006.SZ,0.002919,庚,戌,金,土,土
2012-11,399006.SZ,-0.122731,辛,亥,金,水,水
2012-12,399006.SZ,0.176505,壬,子,水,水,水
2013-01,399006.SZ,0.08705,癸,丑,水,土,土
2013-02,399006.SZ,0.109651,甲,寅,木,木,木
2013-03,399006.SZ,0.006225,乙,卯,木,木,木
2013-04,399006.SZ,0.02646,丙,辰,火,土,土
2013-05,399006.SZ,0.206483,丁,巳,火,火,火
2013-06,399006.SZ,-0.057189,戊,午,土,火,火
2013-07,399006.SZ,0.120947,己,未,土,土,土
2013-08,399006.SZ,0.045088,庚,申,金,金,金
2013-09,399006.SZ,0.154215,辛,酉,金,金,金
2013-10,399006.SZ,-0.096758,壬,戌,水,土,土
2013-11,399006.SZ,0.106251,癸,亥,水,水,水
2013-12,399006.SZ,-0.045646,甲,子,木,水,水
2014-01,399006.SZ,0.146832,乙,丑,木,土,土
2014-02,399006.SZ,-0.040832,丙,寅,火,木,木
2014-03,399006.SZ,-0.074635,丁,卯,火,木,木
2014-04,399006.SZ,-0.033583,戊,辰,土,土,土
2014-05,399006.SZ,0.027211,己,巳,土,火,火
2014-06,399006.SZ,0.065686,庚,午,金,火,火
2014-07,399006.SZ,-0.042832,辛,未,金,土,土
2014-08,399006.SZ,0.059444,壬,申,水,金,金
2014-09,399006.SZ,0.081718,癸,酉,水,金,金
2014-10,399006.SZ,-0.017916,甲,戌,木,土,土
2014-11,399006.SZ,0.038053,乙,亥,木,水,水
2014-12,399006.SZ,-0.063079,丙,子,火,水,水
2015-01,399006.SZ,0.141881,丁,丑,火,土,土
2015-02,399006.SZ,0.147249,戊,寅,土,木,木
2015-03,399006.SZ,0.211161,己,卯,土,木,木
2015-04,399006.SZ,0.223846,庚,辰,金,土,土
2015-05,399006.SZ,0.239671,辛,巳,金,火,火
2015-06,399006.SZ,-0.193132,壬,午,水,火,火
2015-07,399006.SZ,-0.11151,癸,未,水,土,土
2015-08,399006.SZ,-0.213784,甲,申,木,金,金
2015-09,399006.SZ,0.042971,乙,酉,木,金,金
2015-10,399006.SZ,0.18995,丙,戌,火,土,土
2015-11,399006.SZ,0.078403,丁,亥,火,水,水
2015-12,399006.SZ,0.015516,戊,子,土,水,水
2016-01,399006.SZ,-0.26528,己,丑,土,土,土
2016-02,399006.SZ,-0.056871,庚,寅,金,木,木
2016-03,399006.SZ,0.19016,辛,卯,金,木,木
2016-04,399006.SZ,-0.044475,壬,辰,水,土,土
2016-05,399006.SZ,0.009848,癸,巳,水,火,火
2016-06,399006.SZ,0.03148,甲,午,木,火,火
2016-07,399006.SZ,-0.047302,乙,未,木,土,土
2016-08,399006.SZ,0.032673,丙,申,火,金,金
2016-09,399006.SZ,-0.019097,丁,酉,火,金,金
2016-10,399006.SZ,0.004586,戊,戌,土,土,土
2016-11,399006.SZ,0.010783,己,亥,土,水,水
2016-12,399006.SZ,-0.10123,庚,子,金,水,水
2017-01,399006.SZ,-0.038647,辛,丑,金,土,土
2017-02,399006.SZ,0.021698,壬,寅,水,木,木
2017-03,399006.SZ,-0.010286,癸,卯,水,木,木
2017-04,399006.SZ,-0.029677,甲,辰,木,土,土
2017-05,399006.SZ,-0.047011,乙,巳,木,火,火
2017-06,399006.SZ,0.030809,丙,午,火,火,火
2017-07,399006.SZ,-0.044975,丁,未,火,土,土
2017-08,399006.SZ,0.065126,戊,申,土,金,金
2017-09,399006.SZ,0.009518,己,酉,土,金,金
2017-10,399006.SZ,0.001502,庚,戌,金,土,土
2017-11,399006.SZ,-0.053207,辛,亥,金,水,水
2017-12,399006.SZ,-0.00997,壬,子,水,水,水
2018-01,399006.SZ,-0.010039,癸,丑,水,土,土
2018-02,399006.SZ,0.010703,甲,寅,木,木,木
2018-03,399006.SZ,0.083744,乙,卯,木,木,木
2018-04,399006.SZ,-0.049927,丙,辰,火,土,土
2018-05,399006.SZ,-0.034256,丁,巳,火,火,火
2018-06,399006.SZ,-0.078583,戊,午,土,火,火
2018-07,399006.SZ,-0.028292,己,未,土,土,土
2018-08,399006.SZ,-0.080741,庚,申,金,金,金
2018-09,399006.SZ,-0.016625,辛,酉,金,金,金
2018-10,399006.SZ,-0.096197,壬,戌,水,土,土
2018-11,399006.SZ,0.042189,癸,亥,水,水,水
2018-12,399006.SZ,-0.059323,甲,子,木,水,水
2019-01,399006.SZ,-0.018022,乙,丑,木,土,土
2019-02,399006.SZ,0.250566,丙,寅,火,木,木
2019-03,399006.SZ,0.102799,丁,卯,火,木,木
2019-04,399006.SZ,-0.041195,戊,辰,土,土,土
