month,ts_code,return,heavenly_stem,earthly_branch,stem_wuxing,branch_wuxing,month_wuxing
2014-02,801770.SI,,丙,寅,火,木,木
2014-03,801770.SI,-0.063918,丁,卯,火,木,木
2014-04,801770.SI,0.009265,戊,辰,土,土,土
2014-05,801770.SI,0.052585,己,巳,土,火,火
2014-06,801770.SI,0.048773,庚,午,金,火,火
2014-07,801770.SI,0.024475,辛,未,金,土,土
2014-08,801770.SI,0.029645,壬,申,水,金,金
2014-09,801770.SI,0.143627,癸,酉,水,金,金
2014-10,801770.SI,-0.008699,甲,戌,木,土,土
2014-11,801770.SI,0.039101,乙,亥,木,水,水
2014-12,801770.SI,-0.006822,丙,子,火,水,水
2015-01,801770.SI,0.074117,丁,丑,火,土,土
2015-02,801770.SI,0.138189,戊,寅,土,木,木
2015-03,801770.SI,0.162923,己,卯,土,木,木
2015-04,801770.SI,0.209153,庚,辰,金,土,土
2015-05,801770.SI,0.276218,辛,巳,金,火,火
2015-06,801770.SI,-0.184806,壬,午,水,火,火
2015-07,801770.SI,-0.126956,癸,未,水,土,土
2015-08,801770.SI,-0.137222,甲,申,木,金,金
2015-09,801770.SI,-0.066995,乙,酉,木,金,金
2015-10,801770.SI,0.205248,丙,戌,火,土,土
2015-11,801770.SI,0.082013,丁,亥,火,水,水
2015-12,801770.SI,0.053549,戊,子,土,水,水
2016-01,801770.SI,-0.270566,己,丑,土,土,土
2016-02,801770.SI,-0.055857,庚,寅,金,木,木
2016-03,801770.SI,0.142411,辛,卯,金,木,木
2016-04,801770.SI,-0.017243,壬,辰,水,土,土
2016-05,801770.SI,-0.003559,癸,巳,水,火,火
2016-06,801770.SI,0.050586,甲,午,木,火,火
2016-07,801770.SI,0.013296,乙,未,木,土,土
2016-08,801770.SI,0.035707,丙,申,火,金,金
2016-09,801770.SI,-0.009814,丁,酉,火,金,金
2016-10,801770.SI,0.022778,戊,戌,土,土,土
2016-11,801770.SI,0.03629,己,亥,土,水,水
2016-12,801770.SI,-0.057268,庚,子,金,水,水
2017-01,801770.SI,-0.043379,辛,丑,金,土,土
2017-02,801770.SI,0.046389,壬,寅,水,木,木
2017-03,801770.SI,-0.008393,癸,卯,水,木,木
2017-04,801770.SI,-0.05217,甲,辰,木,土,土
2017-05,801770.SI,-0.045125,乙,巳,木,火,火
2017-06,801770.SI,0.052109,丙,午,火,火,火
2017-07,801770.SI,-0.036596,丁,未,火,土,土
2017-08,801770.SI,0.052258,戊,申,土,金,金
2017-09,801770.SI,0.090372,己,酉,土,金,金
2017-10,801770.SI,-0.028827,庚,戌,金,土,土
2017-11,801770.SI,-0.028545,辛,亥,金,水,水
2017-12,801770.SI,-0.016439,壬,子,水,水,水
2018-01,801770.SI,-0.072368,癸,丑,水,土,土
2018-02,801770.SI,-0.008629,甲,寅,木,木,木
2018-03,801770.SI,0.038144,乙,卯,木,木,木
2018-04,801770.SI,-0.047148,丙,辰,火,土,土
2018-05,801770.SI,-0.045482,丁,巳,火,火,火
2018-06,801770.SI,-0.160888,戊,午,土,火,火
2018-07,801770.SI,0.009108,己,未,土,土,土
2018-08,801770.SI,0.002834,庚,申,金,金,金
2018-09,801770.SI,-0.02955,辛,酉,金,金,金
2018-10,801770.SI,-0.117883,壬,戌,水,土,土
2018-11,801770.SI,0.070532,癸,亥,水,水,水
2018-12,801770.SI,0.016453,甲,子,木,水,水
2019-01,801770.SI,-0.013491,乙,丑,木,土,土
2019-02,801770.SI,0.278658,丙,寅,火,木,木
2019-03,801770.SI,0.056439,丁,卯,火,木,木
2019-04,801770.SI,-0.022989,戊,辰,土,土,土
2019-05,801770.SI,-0.088377,己,巳,土,火,火
2019-06,801770.SI,0.035319,庚,午,金,火,火
2019-07,801770.SI,-0.038128,辛,未,金,土,土
2019-08,801770.SI,-0.053145,壬,申,水,金,金
2019-09,801770.SI,0.054742,癸,酉,水,金,金
2019-10,801770.SI,-0.019284,甲,戌,木,土,土
2019-11,801770.SI,-0.042486,乙,亥,木,水,水
2019-12,801770.SI,0.082245,丙,子,火,水,水
2020-01,801770.SI,0.014651,丁,丑,火,土,土
2020-02,801770.SI,0.110773,戊,寅,土,木,木
2020-03,801770.SI,-0.079354,己,卯,土,木,木
2020-04,801770.SI,0.018546,庚,辰,金,土,土
2020-05,801770.SI,-0.058537,辛,巳,金,火,火
2020-06,801770.SI,0.078047,壬,午,水,火,火
2020-07,801770.SI,0.0328,癸,未,水,土,土
2020-08,801770.SI,-0.008492,甲,申,木,金,金
2020-09,801770.SI,-0.102558,乙,酉,木,金,金
2020-10,801770.SI,-0.026121,丙,戌,火,土,土
2020-11,801770.SI,0.022991,丁,亥,火,水,水
2020-12,801770.SI,-0.066592,戊,子,土,水,水
2021-01,801770.SI,-0.073003,己,丑,土,土,土
2021-02,801770.SI,0.013592,庚,寅,金,木,木
2021-03,801770.SI,-0.057278,辛,卯,金,木,木
2021-04,801770.SI,-0.03606,壬,辰,水,土,土
2021-05,801770.SI,0.069121,癸,巳,水,火,火
2021-06,801770.SI,0.031362,甲,午,木,火,火
2021-07,801770.SI,0.04563,乙,未,木,土,土
2021-08,801770.SI,-0.058759,丙,申,火,金,金
2021-09,801770.SI,-0.013587,丁,酉,火,金,金
2021-10,801770.SI,-0.004679,戊,戌,土,土,土
2021-11,801770.SI,0.11285,己,亥,土,水,水
2021-12,801770.SI,0.017857,庚,子,金,水,水
2022-01,801770.SI,-0.082383,辛,丑,金,土,土
2022-02,801770.SI,0.055745,壬,寅,水,木,木
2022-03,801770.SI,-0.081991,癸,卯,水,木,木
2022-04,801770.SI,-0.122887,甲,辰,木,土,土
2022-05,801770.SI,0.060843,乙,巳,木,火,火
2022-06,801770.SI,0.064505,丙,午,火,火,火
2022-07,801770.SI,0.030773,丁,未,火,土,土
2022-08,801770.SI,-0.010255,戊,申,土,金,金
2022-09,801770.SI,-0.082601,己,酉,土,金,金
2022-10,801770.SI,0.055433,庚,戌,金,土,土
2022-11,801770.SI,0.011735,辛,亥,金,水,水
2022-12,801770.SI,-0.041289,壬,子,水,水,水
2023-01,801770.SI,0.09238,癸,丑,水,土,土
2023-02,801770.SI,0.085887,甲,寅,木,木,木
2023-03,801770.SI,0.091806,乙,卯,木,木,木
2023-04,801770.SI,0.034741,丙,辰,火,土,土
2023-05,801770.SI,0.013619,丁,巳,火,火,火
2023-06,801770.SI,0.109146,戊,午,土,火,火
2023-07,801770.SI,-0.076568,己,未,土,土,土
2023-08,801770.SI,-0.039206,庚,申,金,金,金
2023-09,801770.SI,0.007049,辛,酉,金,金,金
2023-10,801770.SI,-0.090893,壬,戌,水,土,土
2023-11,801770.SI,0.02576,癸,亥,水,水,水
2023-12,801770.SI,0.001781,甲,子,木,水,水
2024-01,801770.SI,-0.15188,乙,丑,木,土,土
2024-02,801770.SI,0.195232,丙,寅,火,木,木
2024-03,801770.SI,0.042477,丁,卯,火,木,木
2024-04,801770.SI,0.015044,戊,辰,土,土,土
2024-05,801770.SI,-0.061339,己,巳,土,火,火
2024-06,801770.SI,0.029215,庚,午,金,火,火
2024-07,801770.SI,-0.022692,辛,未,金,土,土
2024-08,801770.SI,-0.062015,壬,申,水,金,金
2024-09,801770.SI,0.245988,癸,酉,水,金,金
2024-10,801770.SI,0.062806,甲,戌,木,土,土
