month,ts_code,return,heavenly_stem,earthly_branch,stem_wuxing,branch_wuxing,month_wuxing
2012-08,801110.SI,,戊,申,土,金,金
2012-09,801110.SI,0.032504,己,酉,土,金,金
2012-10,801110.SI,0.031079,庚,戌,金,土,土
2012-11,801110.SI,-0.024884,辛,亥,金,水,水
2012-12,801110.SI,0.109574,壬,子,水,水,水
2013-01,801110.SI,0.090815,癸,丑,水,土,土
2013-02,801110.SI,0.003252,甲,寅,木,木,木
2013-03,801110.SI,-0.002642,乙,卯,木,木,木
2013-04,801110.SI,0.042233,丙,辰,火,土,土
2013-05,801110.SI,0.037222,丁,巳,火,火,火
2013-06,801110.SI,-0.12768,戊,午,土,火,火
2013-07,801110.SI,0.059842,己,未,土,土,土
2013-08,801110.SI,0.028807,庚,申,金,金,金
2013-09,801110.SI,0.048744,辛,酉,金,金,金
2013-10,801110.SI,0.104818,壬,戌,水,土,土
2013-11,801110.SI,0.047561,癸,亥,水,水,水
2013-12,801110.SI,0.022828,甲,子,木,水,水
2014-01,801110.SI,-0.02395,乙,丑,木,土,土
2014-02,801110.SI,-0.029413,丙,寅,火,木,木
2014-03,801110.SI,-0.025633,丁,卯,火,木,木
2014-04,801110.SI,-3.3e-05,戊,辰,土,土,土
2014-05,801110.SI,0.008534,己,巳,土,火,火
2014-06,801110.SI,0.008685,庚,午,金,火,火
2014-07,801110.SI,0.069322,辛,未,金,土,土
2014-08,801110.SI,0.002372,壬,申,水,金,金
2014-09,801110.SI,0.036247,癸,酉,水,金,金
2014-10,801110.SI,0.027446,甲,戌,木,土,土
2014-11,801110.SI,0.04708,乙,亥,木,水,水
2014-12,801110.SI,0.080933,丙,子,火,水,水
2015-01,801110.SI,0.103306,丁,丑,火,土,土
2015-02,801110.SI,0.064487,戊,寅,土,木,木
2015-03,801110.SI,0.141231,己,卯,土,木,木
2015-04,801110.SI,0.186263,庚,辰,金,土,土
2015-05,801110.SI,0.125356,辛,巳,金,火,火
2015-06,801110.SI,-0.043524,壬,午,水,火,火
2015-07,801110.SI,-0.185504,癸,未,水,土,土
2015-08,801110.SI,-0.140258,甲,申,木,金,金
2015-09,801110.SI,-0.106615,乙,酉,木,金,金
2015-10,801110.SI,0.138201,丙,戌,火,土,土
2015-11,801110.SI,0.055529,丁,亥,火,水,水
2015-12,801110.SI,0.109628,戊,子,土,水,水
2016-01,801110.SI,-0.216118,己,丑,土,土,土
2016-02,801110.SI,-0.037505,庚,寅,金,木,木
2016-03,801110.SI,0.125516,辛,卯,金,木,木
2016-04,801110.SI,0.005015,壬,辰,水,土,土
2016-05,801110.SI,0.005291,癸,巳,水,火,火
2016-06,801110.SI,0.040302,甲,午,木,火,火
2016-07,801110.SI,0.043484,乙,未,木,土,土
2016-08,801110.SI,-0.003834,丙,申,火,金,金
2016-09,801110.SI,0.043728,丁,酉,火,金,金
2016-10,801110.SI,0.007983,戊,戌,土,土,土
2016-11,801110.SI,0.093775,己,亥,土,水,水
2016-12,801110.SI,-0.080843,庚,子,金,水,水
2017-01,801110.SI,0.019276,辛,丑,金,土,土
2017-02,801110.SI,0.061411,壬,寅,水,木,木
2017-03,801110.SI,0.051777,癸,卯,水,木,木
2017-04,801110.SI,0.000776,甲,辰,木,土,土
2017-05,801110.SI,0.013153,乙,巳,木,火,火
2017-06,801110.SI,0.125333,丙,午,火,火,火
2017-07,801110.SI,-0.039856,丁,未,火,土,土
2017-08,801110.SI,-0.005305,戊,申,土,金,金
2017-09,801110.SI,0.029748,己,酉,土,金,金
2017-10,801110.SI,0.104378,庚,戌,金,土,土
2017-11,801110.SI,-0.024082,辛,亥,金,水,水
2017-12,801110.SI,0.039319,壬,子,水,水,水
2018-01,801110.SI,0.103438,癸,丑,水,土,土
2018-02,801110.SI,-0.067753,甲,寅,木,木,木
2018-03,801110.SI,-0.043045,乙,卯,木,木,木
2018-04,801110.SI,-0.056002,丙,辰,火,土,土
2018-05,801110.SI,0.048474,丁,巳,火,火,火
2018-06,801110.SI,-0.039711,戊,午,土,火,火
2018-07,801110.SI,-0.070007,己,未,土,土,土
2018-08,801110.SI,-0.12145,庚,申,金,金,金
2018-09,801110.SI,0.009876,辛,酉,金,金,金
2018-10,801110.SI,-0.100128,壬,戌,水,土,土
2018-11,801110.SI,0.022347,癸,亥,水,水,水
2018-12,801110.SI,-0.034147,甲,子,木,水,水
2019-01,801110.SI,0.130624,乙,丑,木,土,土
2019-02,801110.SI,0.103223,丙,寅,火,木,木
2019-03,801110.SI,0.077613,丁,卯,火,木,木
2019-04,801110.SI,0.052689,戊,辰,土,土,土
2019-05,801110.SI,-0.06314,己,巳,土,火,火
2019-06,801110.SI,0.039699,庚,午,金,火,火
2019-07,801110.SI,0.009354,辛,未,金,土,土
2019-08,801110.SI,-0.01753,壬,申,水,金,金
2019-09,801110.SI,0.002203,癸,酉,水,金,金
2019-10,801110.SI,0.048038,甲,戌,木,土,土
2019-11,801110.SI,-0.012678,乙,亥,木,水,水
2019-12,801110.SI,0.107586,丙,子,火,水,水
2020-01,801110.SI,-0.02631,丁,丑,火,土,土
2020-02,801110.SI,-0.03151,戊,寅,土,木,木
2020-03,801110.SI,-0.108517,己,卯,土,木,木
2020-04,801110.SI,0.07654,庚,辰,金,土,土
2020-05,801110.SI,0.061418,辛,巳,金,火,火
2020-06,801110.SI,0.024047,壬,午,水,火,火
2020-07,801110.SI,0.108378,癸,未,水,土,土
2020-08,801110.SI,0.006443,甲,申,木,金,金
2020-09,801110.SI,-0.018302,乙,酉,木,金,金
2020-10,801110.SI,0.072659,丙,戌,火,土,土
2020-11,801110.SI,0.087527,丁,亥,火,水,水
2020-12,801110.SI,0.043044,戊,子,土,水,水
2021-01,801110.SI,-0.030968,己,丑,土,土,土
2021-02,801110.SI,-0.015303,庚,寅,金,木,木
2021-03,801110.SI,-0.033013,辛,卯,金,木,木
2021-04,801110.SI,-0.007496,壬,辰,水,土,土
2021-05,801110.SI,-0.013866,癸,巳,水,火,火
2021-06,801110.SI,-0.065265,甲,午,木,火,火
2021-07,801110.SI,-0.091874,乙,未,木,土,土
2021-08,801110.SI,-0.000418,丙,申,火,金,金
2021-09,801110.SI,-0.010104,丁,酉,火,金,金
2021-10,801110.SI,-0.006803,戊,戌,土,土,土
2021-11,801110.SI,0.001093,己,亥,土,水,水
2021-12,801110.SI,0.066834,庚,子,金,水,水
2022-01,801110.SI,-0.045582,辛,丑,金,土,土
2022-02,801110.SI,-0.0479,壬,寅,水,木,木
2022-03,801110.SI,-0.124966,癸,卯,水,木,木
2022-04,801110.SI,-0.008308,甲,辰,木,土,土
2022-05,801110.SI,0.016083,乙,巳,木,火,火
2022-06,801110.SI,0.111575,丙,午,火,火,火
2022-07,801110.SI,-0.024523,丁,未,火,土,土
2022-08,801110.SI,-0.042586,戊,申,土,金,金
2022-09,801110.SI,-0.048727,己,酉,土,金,金
2022-10,801110.SI,-0.128744,庚,戌,金,土,土
