month,ts_code,return,heavenly_stem,earthly_branch,stem_wuxing,branch_wuxing,month_wuxing
2014-02,801890.SI,,丙,寅,火,木,木
2014-03,801890.SI,-0.034526,丁,卯,火,木,木
2014-04,801890.SI,-0.033558,戊,辰,土,土,土
2014-05,801890.SI,0.003758,己,巳,土,火,火
2014-06,801890.SI,0.051547,庚,午,金,火,火
2014-07,801890.SI,0.064769,辛,未,金,土,土
2014-08,801890.SI,0.052846,壬,申,水,金,金
2014-09,801890.SI,0.143962,癸,酉,水,金,金
2014-10,801890.SI,0.03414,甲,戌,木,土,土
2014-11,801890.SI,0.062736,乙,亥,木,水,水
2014-12,801890.SI,0.009164,丙,子,火,水,水
2015-01,801890.SI,0.06793,丁,丑,火,土,土
2015-02,801890.SI,0.046181,戊,寅,土,木,木
2015-03,801890.SI,0.228087,己,卯,土,木,木
2015-04,801890.SI,0.236648,庚,辰,金,土,土
2015-05,801890.SI,0.225536,辛,巳,金,火,火
2015-06,801890.SI,-0.186525,壬,午,水,火,火
2015-07,801890.SI,-0.159763,癸,未,水,土,土
2015-08,801890.SI,-0.149768,甲,申,木,金,金
2015-09,801890.SI,-0.050184,乙,酉,木,金,金
2015-10,801890.SI,0.165266,丙,戌,火,土,土
2015-11,801890.SI,0.059949,丁,亥,火,水,水
2015-12,801890.SI,0.03527,戊,子,土,水,水
2016-01,801890.SI,-0.297761,己,丑,土,土,土
2016-02,801890.SI,-0.04796,庚,寅,金,木,木
2016-03,801890.SI,0.181226,辛,卯,金,木,木
2016-04,801890.SI,-0.023743,壬,辰,水,土,土
2016-05,801890.SI,-0.009247,癸,巳,水,火,火
2016-06,801890.SI,0.056322,甲,午,木,火,火
2016-07,801890.SI,-0.033502,乙,未,木,土,土
2016-08,801890.SI,0.034841,丙,申,火,金,金
2016-09,801890.SI,-0.004036,丁,酉,火,金,金
2016-10,801890.SI,0.041412,戊,戌,土,土,土
2016-11,801890.SI,0.059553,己,亥,土,水,水
