month,ts_code,return,heavenly_stem,earthly_branch,stem_wuxing,branch_wuxing,month_wuxing
2014-02,801880.SI,,丙,寅,火,木,木
2014-03,801880.SI,-0.029759,丁,卯,火,木,木
2014-04,801880.SI,0.017523,戊,辰,土,土,土
2014-05,801880.SI,0.00452,己,巳,土,火,火
2014-06,801880.SI,0.055661,庚,午,金,火,火
2014-07,801880.SI,0.110814,辛,未,金,土,土
2014-08,801880.SI,0.029591,壬,申,水,金,金
2014-09,801880.SI,0.080771,癸,酉,水,金,金
2014-10,801880.SI,0.018797,甲,戌,木,土,土
2014-11,801880.SI,0.030385,乙,亥,木,水,水
2014-12,801880.SI,-0.011226,丙,子,火,水,水
2015-01,801880.SI,0.084514,丁,丑,火,土,土
2015-02,801880.SI,0.081094,戊,寅,土,木,木
2015-03,801880.SI,0.142549,己,卯,土,木,木
2015-04,801880.SI,0.132686,庚,辰,金,土,土
2015-05,801880.SI,0.152772,辛,巳,金,火,火
2015-06,801880.SI,-0.093899,壬,午,水,火,火
2015-07,801880.SI,-0.169803,癸,未,水,土,土
2015-08,801880.SI,-0.120621,甲,申,木,金,金
2015-09,801880.SI,-0.016901,乙,酉,木,金,金
2015-10,801880.SI,0.143358,丙,戌,火,土,土
2015-11,801880.SI,0.064385,丁,亥,火,水,水
2015-12,801880.SI,0.061164,戊,子,土,水,水
2016-01,801880.SI,-0.267215,己,丑,土,土,土
2016-02,801880.SI,-0.004529,庚,寅,金,木,木
2016-03,801880.SI,0.165717,辛,卯,金,木,木
2016-04,801880.SI,-0.000208,壬,辰,水,土,土
2016-05,801880.SI,-0.010168,癸,巳,水,火,火
2016-06,801880.SI,0.046705,甲,午,木,火,火
2016-07,801880.SI,0.006928,乙,未,木,土,土
2016-08,801880.SI,0.010331,丙,申,火,金,金
2016-09,801880.SI,0.000533,丁,酉,火,金,金
2016-10,801880.SI,0.028548,戊,戌,土,土,土
2016-11,801880.SI,0.025828,己,亥,土,水,水
2016-12,801880.SI,-0.043671,庚,子,金,水,水
2017-01,801880.SI,0.01216,辛,丑,金,土,土
2017-02,801880.SI,0.030565,壬,寅,水,木,木
2017-03,801880.SI,0.000895,癸,卯,水,木,木
2017-04,801880.SI,-0.034703,甲,辰,木,土,土
2017-05,801880.SI,-0.049367,乙,巳,木,火,火
2017-06,801880.SI,0.061136,丙,午,火,火,火
2017-07,801880.SI,-0.026155,丁,未,火,土,土
2017-08,801880.SI,0.006678,戊,申,土,金,金
2017-09,801880.SI,0.069405,己,酉,土,金,金
2017-10,801880.SI,-0.007323,庚,戌,金,土,土
2017-11,801880.SI,-0.066858,辛,亥,金,水,水
2017-12,801880.SI,0.007611,壬,子,水,水,水
2018-01,801880.SI,-0.034631,癸,丑,水,土,土
2018-02,801880.SI,-0.033254,甲,寅,木,木,木
2018-03,801880.SI,-0.010383,乙,卯,木,木,木
2018-04,801880.SI,-0.064751,丙,辰,火,土,土
2018-05,801880.SI,0.02648,丁,巳,火,火,火
2018-06,801880.SI,-0.073099,戊,午,土,火,火
2018-07,801880.SI,-0.040534,己,未,土,土,土
2018-08,801880.SI,-0.083761,庚,申,金,金,金
2018-09,801880.SI,0.030051,辛,酉,金,金,金
2018-10,801880.SI,-0.131398,壬,戌,水,土,土
2018-11,801880.SI,0.029891,癸,亥,水,水,水
2018-12,801880.SI,-0.013758,甲,子,木,水,水
2019-01,801880.SI,-0.005511,乙,丑,木,土,土
2019-02,801880.SI,0.157026,丙,寅,火,木,木
2019-03,801880.SI,0.038948,丁,卯,火,木,木
2019-04,801880.SI,0.019336,戊,辰,土,土,土
2019-05,801880.SI,-0.104817,己,巳,土,火,火
2019-06,801880.SI,0.008644,庚,午,金,火,火
2019-07,801880.SI,-0.010326,辛,未,金,土,土
2019-08,801880.SI,-0.015704,壬,申,水,金,金
2019-09,801880.SI,-0.016157,癸,酉,水,金,金
2019-10,801880.SI,-0.014551,甲,戌,木,土,土
2019-11,801880.SI,0.018434,乙,亥,木,水,水
2019-12,801880.SI,0.082878,丙,子,火,水,水
2020-01,801880.SI,0.019771,丁,丑,火,土,土
2020-02,801880.SI,0.017494,戊,寅,土,木,木
2020-03,801880.SI,-0.10124,己,卯,土,木,木
2020-04,801880.SI,0.011732,庚,辰,金,土,土
2020-05,801880.SI,-0.001996,辛,巳,金,火,火
2020-06,801880.SI,0.0646,壬,午,水,火,火
2020-07,801880.SI,0.142197,癸,未,水,土,土
2020-08,801880.SI,0.049609,甲,申,木,金,金
2020-09,801880.SI,0.011247,乙,酉,木,金,金
2020-10,801880.SI,0.115883,丙,戌,火,土,土
2020-11,801880.SI,0.080085,丁,亥,火,水,水
2020-12,801880.SI,-0.004274,戊,子,土,水,水
2021-01,801880.SI,0.025444,己,丑,土,土,土
2021-02,801880.SI,-0.05159,庚,寅,金,木,木
2021-03,801880.SI,-0.059129,辛,卯,金,木,木
2021-04,801880.SI,0.032172,壬,辰,水,土,土
2021-05,801880.SI,0.056994,癸,巳,水,火,火
2021-06,801880.SI,0.090678,甲,午,木,火,火
2021-07,801880.SI,-0.004441,乙,未,木,土,土
2021-08,801880.SI,0.077886,丙,申,火,金,金
2021-09,801880.SI,-0.088905,丁,酉,火,金,金
2021-10,801880.SI,0.098999,戊,戌,土,土,土
2021-11,801880.SI,0.052221,己,亥,土,水,水
2021-12,801880.SI,-0.047975,庚,子,金,水,水
2022-01,801880.SI,-0.116139,辛,丑,金,土,土
2022-02,801880.SI,0.00554,壬,寅,水,木,木
