month,ts_code,return,heavenly_stem,earthly_branch,stem_wuxing,branch_wuxing,month_wuxing
2014-02,801710.SI,,丙,寅,火,木,木
2014-03,801710.SI,0.04365,丁,卯,火,木,木
2014-04,801710.SI,-0.007941,戊,辰,土,土,土
2014-05,801710.SI,-0.007274,己,巳,土,火,火
2014-06,801710.SI,0.009786,庚,午,金,火,火
2014-07,801710.SI,0.091324,辛,未,金,土,土
2014-08,801710.SI,0.025113,壬,申,水,金,金
2014-09,801710.SI,0.104859,癸,酉,水,金,金
2014-10,801710.SI,0.022429,甲,戌,木,土,土
2014-11,801710.SI,0.061493,乙,亥,木,水,水
2014-12,801710.SI,0.086498,丙,子,火,水,水
2015-01,801710.SI,-0.009937,丁,丑,火,土,土
2015-02,801710.SI,0.035883,戊,寅,土,木,木
2015-03,801710.SI,0.203055,己,卯,土,木,木
2015-04,801710.SI,0.136127,庚,辰,金,土,土
2015-05,801710.SI,0.142867,辛,巳,金,火,火
2015-06,801710.SI,-0.109544,壬,午,水,火,火
2015-07,801710.SI,-0.174463,癸,未,水,土,土
2015-08,801710.SI,-0.079729,甲,申,木,金,金
2015-09,801710.SI,-0.063787,乙,酉,木,金,金
2015-10,801710.SI,0.103415,丙,戌,火,土,土
2015-11,801710.SI,0.043226,丁,亥,火,水,水
2015-12,801710.SI,0.086016,戊,子,土,水,水
2016-01,801710.SI,-0.272185,己,丑,土,土,土
2016-02,801710.SI,0.006121,庚,寅,金,木,木
2016-03,801710.SI,0.160479,辛,卯,金,木,木
2016-04,801710.SI,-0.007832,壬,辰,水,土,土
2016-05,801710.SI,-0.04508,癸,巳,水,火,火
2016-06,801710.SI,0.022686,甲,午,木,火,火
2016-07,801710.SI,0.021936,乙,未,木,土,土
2016-08,801710.SI,0.074121,丙,申,火,金,金
2016-09,801710.SI,0.026972,丁,酉,火,金,金
2016-10,801710.SI,0.054064,戊,戌,土,土,土
2016-11,801710.SI,0.043775,己,亥,土,水,水
2016-12,801710.SI,-0.020499,庚,子,金,水,水
2017-01,801710.SI,0.001064,辛,丑,金,土,土
2017-02,801710.SI,0.067081,壬,寅,水,木,木
2017-03,801710.SI,-0.009588,癸,卯,水,木,木
2017-04,801710.SI,0.0136,甲,辰,木,土,土
2017-05,801710.SI,-0.079017,乙,巳,木,火,火
2017-06,801710.SI,0.041591,丙,午,火,火,火
2017-07,801710.SI,0.028969,丁,未,火,土,土
2017-08,801710.SI,0.016955,戊,申,土,金,金
2017-09,801710.SI,0.008937,己,酉,土,金,金
2017-10,801710.SI,0.001542,庚,戌,金,土,土
2017-11,801710.SI,0.004546,辛,亥,金,水,水
2017-12,801710.SI,-0.029468,壬,子,水,水,水
2018-01,801710.SI,0.03787,癸,丑,水,土,土
2018-02,801710.SI,-0.059347,甲,寅,木,木,木
2018-03,801710.SI,0.010893,乙,卯,木,木,木
2018-04,801710.SI,-0.056121,丙,辰,火,土,土
2018-05,801710.SI,-0.041934,丁,巳,火,火,火
2018-06,801710.SI,-0.088358,戊,午,土,火,火
2018-07,801710.SI,0.088358,己,未,土,土,土
2018-08,801710.SI,-0.067877,庚,申,金,金,金
2018-09,801710.SI,-0.031238,辛,酉,金,金,金
2018-10,801710.SI,-0.098243,壬,戌,水,土,土
2018-11,801710.SI,0.01939,癸,亥,水,水,水
2018-12,801710.SI,-0.05173,甲,子,木,水,水
2019-01,801710.SI,0.041686,乙,丑,木,土,土
2019-02,801710.SI,0.158737,丙,寅,火,木,木
2019-03,801710.SI,0.113379,丁,卯,火,木,木
2019-04,801710.SI,-0.028388,戊,辰,土,土,土
2019-05,801710.SI,-0.040439,己,巳,土,火,火
2019-06,801710.SI,0.033276,庚,午,金,火,火
2019-07,801710.SI,-0.036933,辛,未,金,土,土
2019-08,801710.SI,-0.035067,壬,申,水,金,金
2019-09,801710.SI,0.028482,癸,酉,水,金,金
2019-10,801710.SI,0.013792,甲,戌,木,土,土
2019-11,801710.SI,0.052603,乙,亥,木,水,水
2019-12,801710.SI,0.143771,丙,子,火,水,水
2020-01,801710.SI,-0.058901,丁,丑,火,土,土
2020-02,801710.SI,0.071588,戊,寅,土,木,木
2020-03,801710.SI,0.006299,己,卯,土,木,木
2020-04,801710.SI,0.085924,庚,辰,金,土,土
2020-05,801710.SI,-0.016152,辛,巳,金,火,火
2020-06,801710.SI,-0.011193,壬,午,水,火,火
2020-07,801710.SI,0.239189,癸,未,水,土,土
2020-08,801710.SI,0.019308,甲,申,木,金,金
2020-09,801710.SI,-0.09274,乙,酉,木,金,金
2020-10,801710.SI,-0.020714,丙,戌,火,土,土
2020-11,801710.SI,0.048005,丁,亥,火,水,水
2020-12,801710.SI,-0.018659,戊,子,土,水,水
2021-01,801710.SI,0.012175,己,丑,土,土,土
2021-02,801710.SI,0.036595,庚,寅,金,木,木
2021-03,801710.SI,0.010154,辛,卯,金,木,木
2021-04,801710.SI,0.01125,壬,辰,水,土,土
2021-05,801710.SI,0.022904,癸,巳,水,火,火
2021-06,801710.SI,-0.067254,甲,午,木,火,火
2021-07,801710.SI,-0.058214,乙,未,木,土,土
2021-08,801710.SI,0.089761,丙,申,火,金,金
2021-09,801710.SI,-0.078177,丁,酉,火,金,金
2021-10,801710.SI,-0.039473,戊,戌,土,土,土
2021-11,801710.SI,-0.003664,己,亥,土,水,水
2021-12,801710.SI,0.128216,庚,子,金,水,水
2022-01,801710.SI,-0.076478,辛,丑,金,土,土
2022-02,801710.SI,-0.006291,壬,寅,水,木,木
2022-03,801710.SI,-0.037196,癸,卯,水,木,木
2022-04,801710.SI,-0.068863,甲,辰,木,土,土
2022-05,801710.SI,0.021284,乙,巳,木,火,火
2022-06,801710.SI,0.100522,丙,午,火,火,火
2022-07,801710.SI,-0.100624,丁,未,火,土,土
2022-08,801710.SI,-0.068048,戊,申,土,金,金
2022-09,801710.SI,-0.09308,己,酉,土,金,金
2022-10,801710.SI,-0.097357,庚,戌,金,土,土
2022-11,801710.SI,0.205087,辛,亥,金,水,水
2022-12,801710.SI,-0.033916,壬,子,水,水,水
2023-01,801710.SI,0.089572,癸,丑,水,土,土
2023-02,801710.SI,0.000563,甲,寅,木,木,木
2023-03,801710.SI,-0.065124,乙,卯,木,木,木
2023-04,801710.SI,-0.050091,丙,辰,火,土,土
2023-05,801710.SI,-0.084961,丁,巳,火,火,火
2023-06,801710.SI,0.010056,戊,午,土,火,火
2023-07,801710.SI,0.101627,己,未,土,土,土
2023-08,801710.SI,-0.064498,庚,申,金,金,金
2023-09,801710.SI,-0.019229,辛,酉,金,金,金
2023-10,801710.SI,-0.067846,壬,戌,水,土,土
