month,ts_code,return,heavenly_stem,earthly_branch,stem_wuxing,branch_wuxing,month_wuxing
2012-08,801130.SI,,戊,申,土,金,金
2012-09,801130.SI,-0.02055,己,酉,土,金,金
2012-10,801130.SI,-0.015722,庚,戌,金,土,土
2012-11,801130.SI,-0.123423,辛,亥,金,水,水
2012-12,801130.SI,0.170205,壬,子,水,水,水
2013-01,801130.SI,0.027093,癸,丑,水,土,土
2013-02,801130.SI,0.02182,甲,寅,木,木,木
2013-03,801130.SI,-0.02809,乙,卯,木,木,木
2013-04,801130.SI,-0.04823,丙,辰,火,土,土
2013-05,801130.SI,0.104517,丁,巳,火,火,火
2013-06,801130.SI,-0.192376,戊,午,土,火,火
2013-07,801130.SI,0.028088,己,未,土,土,土
2013-08,801130.SI,0.100339,庚,申,金,金,金
2013-09,801130.SI,0.052035,辛,酉,金,金,金
2013-10,801130.SI,-0.007803,壬,戌,水,土,土
2013-11,801130.SI,0.053953,癸,亥,水,水,水
2013-12,801130.SI,0.003514,甲,子,木,水,水
2014-01,801130.SI,-0.008135,乙,丑,木,土,土
2014-02,801130.SI,0.029246,丙,寅,火,木,木
2014-03,801130.SI,-0.011715,丁,卯,火,木,木
2014-04,801130.SI,-0.032784,戊,辰,土,土,土
2014-05,801130.SI,-0.009215,己,巳,土,火,火
2014-06,801130.SI,0.021809,庚,午,金,火,火
2014-07,801130.SI,0.076844,辛,未,金,土,土
2014-08,801130.SI,0.064085,壬,申,水,金,金
2014-09,801130.SI,0.134801,癸,酉,水,金,金
2014-10,801130.SI,0.02491,甲,戌,木,土,土
2014-11,801130.SI,0.049112,乙,亥,木,水,水
2014-12,801130.SI,-0.035192,丙,子,火,水,水
2015-01,801130.SI,0.098241,丁,丑,火,土,土
2015-02,801130.SI,0.077671,戊,寅,土,木,木
2015-03,801130.SI,0.240174,己,卯,土,木,木
2015-04,801130.SI,0.20087,庚,辰,金,土,土
2015-05,801130.SI,0.237557,辛,巳,金,火,火
2015-06,801130.SI,-0.097724,壬,午,水,火,火
2015-07,801130.SI,-0.143227,癸,未,水,土,土
2015-08,801130.SI,-0.10665,甲,申,木,金,金
2015-09,801130.SI,-0.072221,乙,酉,木,金,金
2015-10,801130.SI,0.186603,丙,戌,火,土,土
2015-11,801130.SI,0.068408,丁,亥,火,水,水
2015-12,801130.SI,0.067607,戊,子,土,水,水
2016-01,801130.SI,-0.279166,己,丑,土,土,土
2016-02,801130.SI,0.00078,庚,寅,金,木,木
2016-03,801130.SI,0.167022,辛,卯,金,木,木
2016-04,801130.SI,-0.018162,壬,辰,水,土,土
2016-05,801130.SI,-0.01966,癸,巳,水,火,火
2016-06,801130.SI,0.003104,甲,午,木,火,火
2016-07,801130.SI,-0.001756,乙,未,木,土,土
2016-08,801130.SI,0.024494,丙,申,火,金,金
2016-09,801130.SI,-0.005605,丁,酉,火,金,金
2016-10,801130.SI,0.036323,戊,戌,土,土,土
2016-11,801130.SI,0.047046,己,亥,土,水,水
2016-12,801130.SI,-0.036366,庚,子,金,水,水
2017-01,801130.SI,-0.041382,辛,丑,金,土,土
2017-02,801130.SI,0.035769,壬,寅,水,木,木
2017-03,801130.SI,-0.030946,癸,卯,水,木,木
2017-04,801130.SI,-0.063435,甲,辰,木,土,土
2017-05,801130.SI,-0.057567,乙,巳,木,火,火
2017-06,801130.SI,0.008453,丙,午,火,火,火
2017-07,801130.SI,-0.023646,丁,未,火,土,土
2017-08,801130.SI,0.012073,戊,申,土,金,金
2017-09,801130.SI,-0.007916,己,酉,土,金,金
2017-10,801130.SI,-0.007976,庚,戌,金,土,土
2017-11,801130.SI,-0.077212,辛,亥,金,水,水
2017-12,801130.SI,-0.009203,壬,子,水,水,水
2018-01,801130.SI,0.004115,癸,丑,水,土,土
2018-02,801130.SI,-0.043537,甲,寅,木,木,木
2018-03,801130.SI,-0.000992,乙,卯,木,木,木
2018-04,801130.SI,-0.039709,丙,辰,火,土,土
2018-05,801130.SI,0.042783,丁,巳,火,火,火
2018-06,801130.SI,-0.116249,戊,午,土,火,火
2018-07,801130.SI,-0.034014,己,未,土,土,土
2018-08,801130.SI,-0.10868,庚,申,金,金,金
2018-09,801130.SI,-0.014204,辛,酉,金,金,金
2018-10,801130.SI,-0.104364,壬,戌,水,土,土
2018-11,801130.SI,0.052276,癸,亥,水,水,水
2018-12,801130.SI,-0.03308,甲,子,木,水,水
2019-01,801130.SI,-0.022216,乙,丑,木,土,土
2019-02,801130.SI,0.159316,丙,寅,火,木,木
2019-03,801130.SI,0.108591,丁,卯,火,木,木
2019-04,801130.SI,-0.056642,戊,辰,土,土,土
2019-05,801130.SI,-0.068128,己,巳,土,火,火
2019-06,801130.SI,-0.010833,庚,午,金,火,火
2019-07,801130.SI,-0.036817,辛,未,金,土,土
2019-08,801130.SI,-0.012277,壬,申,水,金,金
2019-09,801130.SI,0.007272,癸,酉,水,金,金
2019-10,801130.SI,-0.017087,甲,戌,木,土,土
2019-11,801130.SI,-0.045371,乙,亥,木,水,水
2019-12,801130.SI,0.089943,丙,子,火,水,水
2020-01,801130.SI,-0.018552,丁,丑,火,土,土
2020-02,801130.SI,0.023159,戊,寅,土,木,木
2020-03,801130.SI,-0.040191,己,卯,土,木,木
2020-04,801130.SI,-0.05235,庚,辰,金,土,土
2020-05,801130.SI,-0.00458,辛,巳,金,火,火
2020-06,801130.SI,0.034564,壬,午,水,火,火
2020-07,801130.SI,0.057641,癸,未,水,土,土
2020-08,801130.SI,0.022602,甲,申,木,金,金
2020-09,801130.SI,-0.056188,乙,酉,木,金,金
2020-10,801130.SI,0.021676,丙,戌,火,土,土
2020-11,801130.SI,0.001248,丁,亥,火,水,水
