month,ts_code,return,heavenly_stem,earthly_branch,stem_wuxing,branch_wuxing,month_wuxing
2012-08,801050.SI,,戊,申,土,金,金
2012-09,801050.SI,0.097028,己,酉,土,金,金
2012-10,801050.SI,-0.089069,庚,戌,金,土,土
2012-11,801050.SI,-0.07657,辛,亥,金,水,水
2012-12,801050.SI,0.167201,壬,子,水,水,水
2013-01,801050.SI,0.0317,癸,丑,水,土,土
2013-02,801050.SI,-0.033928,甲,寅,木,木,木
2013-03,801050.SI,-0.087329,乙,卯,木,木,木
2013-04,801050.SI,-0.059656,丙,辰,火,土,土
2013-05,801050.SI,0.054941,丁,巳,火,火,火
2013-06,801050.SI,-0.222251,戊,午,土,火,火
2013-07,801050.SI,0.031953,己,未,土,土,土
2013-08,801050.SI,0.095767,庚,申,金,金,金
2013-09,801050.SI,-0.008759,辛,酉,金,金,金
2013-10,801050.SI,-0.067294,壬,戌,水,土,土
2013-11,801050.SI,0.035215,癸,亥,水,水,水
2013-12,801050.SI,-0.073631,甲,子,木,水,水
2014-01,801050.SI,-0.036512,乙,丑,木,土,土
2014-02,801050.SI,0.045863,丙,寅,火,木,木
2014-03,801050.SI,-0.040028,丁,卯,火,木,木
2014-04,801050.SI,-0.012316,戊,辰,土,土,土
2014-05,801050.SI,0.029884,己,巳,土,火,火
2014-06,801050.SI,0.046019,庚,午,金,火,火
2014-07,801050.SI,0.160058,辛,未,金,土,土
2014-08,801050.SI,0.00468,壬,申,水,金,金
2014-09,801050.SI,0.067089,癸,酉,水,金,金
2014-10,801050.SI,-0.009861,甲,戌,木,土,土
2014-11,801050.SI,0.057536,乙,亥,木,水,水
2014-12,801050.SI,0.032504,丙,子,火,水,水
2015-01,801050.SI,0.043726,丁,丑,火,土,土
2015-02,801050.SI,0.039108,戊,寅,土,木,木
2015-03,801050.SI,0.163153,己,卯,土,木,木
2015-04,801050.SI,0.155335,庚,辰,金,土,土
2015-05,801050.SI,0.092736,辛,巳,金,火,火
2015-06,801050.SI,-0.122041,壬,午,水,火,火
2015-07,801050.SI,-0.208473,癸,未,水,土,土
2015-08,801050.SI,-0.131855,甲,申,木,金,金
2015-09,801050.SI,-0.076101,乙,酉,木,金,金
2015-10,801050.SI,0.156218,丙,戌,火,土,土
2015-11,801050.SI,0.078045,丁,亥,火,水,水
2015-12,801050.SI,0.042745,戊,子,土,水,水
2016-01,801050.SI,-0.273909,己,丑,土,土,土
2016-02,801050.SI,0.062118,庚,寅,金,木,木
2016-03,801050.SI,0.150194,辛,卯,金,木,木
2016-04,801050.SI,0.004048,壬,辰,水,土,土
2016-05,801050.SI,0.015743,癸,巳,水,火,火
2016-06,801050.SI,0.048565,甲,午,木,火,火
2016-07,801050.SI,0.01349,乙,未,木,土,土
2016-08,801050.SI,0.011952,丙,申,火,金,金
2016-09,801050.SI,-0.047516,丁,酉,火,金,金
2016-10,801050.SI,0.049642,戊,戌,土,土,土
2016-11,801050.SI,0.032993,己,亥,土,水,水
2016-12,801050.SI,-0.066128,庚,子,金,水,水
2017-01,801050.SI,0.027332,辛,丑,金,土,土
2017-02,801050.SI,0.041468,壬,寅,水,木,木
2017-03,801050.SI,-0.020252,癸,卯,水,木,木
2017-04,801050.SI,-0.048544,甲,辰,木,土,土
2017-05,801050.SI,-0.078846,乙,巳,木,火,火
2017-06,801050.SI,0.081587,丙,午,火,火,火
2017-07,801050.SI,0.205574,丁,未,火,土,土
2017-08,801050.SI,0.049253,戊,申,土,金,金
2017-09,801050.SI,0.012923,己,酉,土,金,金
2017-10,801050.SI,-0.056063,庚,戌,金,土,土
2017-11,801050.SI,-0.055451,辛,亥,金,水,水
2017-12,801050.SI,0.016516,壬,子,水,水,水
2018-01,801050.SI,-0.013034,癸,丑,水,土,土
2018-02,801050.SI,-0.028019,甲,寅,木,木,木
2018-03,801050.SI,-0.01849,乙,卯,木,木,木
2018-04,801050.SI,-0.055355,丙,辰,火,土,土
2018-05,801050.SI,-0.031793,丁,巳,火,火,火
2018-06,801050.SI,-0.10323,戊,午,土,火,火
2018-07,801050.SI,-0.008951,己,未,土,土,土
2018-08,801050.SI,-0.104851,庚,申,金,金,金
2018-09,801050.SI,0.001479,辛,酉,金,金,金
2018-10,801050.SI,-0.09939,壬,戌,水,土,土
2018-11,801050.SI,-0.000722,癸,亥,水,水,水
2018-12,801050.SI,-0.0451,甲,子,木,水,水
2019-01,801050.SI,-0.020515,乙,丑,木,土,土
2019-02,801050.SI,0.227099,丙,寅,火,木,木
2019-03,801050.SI,0.030072,丁,卯,火,木,木
2019-04,801050.SI,-0.063791,戊,辰,土,土,土
2019-05,801050.SI,0.02264,己,巳,土,火,火
2019-06,801050.SI,0.019505,庚,午,金,火,火
2019-07,801050.SI,-0.056445,辛,未,金,土,土
2019-08,801050.SI,0.021371,壬,申,水,金,金
2019-09,801050.SI,-0.035051,癸,酉,水,金,金
2019-10,801050.SI,-0.049311,甲,戌,木,土,土
2019-11,801050.SI,0.009308,乙,亥,木,水,水
2019-12,801050.SI,0.152462,丙,子,火,水,水
2020-01,801050.SI,-0.00842,丁,丑,火,土,土
2020-02,801050.SI,-0.024439,戊,寅,土,木,木
2020-03,801050.SI,-0.105537,己,卯,土,木,木
2020-04,801050.SI,0.01971,庚,辰,金,土,土
2020-05,801050.SI,0.041199,辛,巳,金,火,火
2020-06,801050.SI,0.046692,壬,午,水,火,火
2020-07,801050.SI,0.20295,癸,未,水,土,土
2020-08,801050.SI,-0.01033,甲,申,木,金,金
2020-09,801050.SI,-0.09652,乙,酉,木,金,金
2020-10,801050.SI,0.019013,丙,戌,火,土,土
2020-11,801050.SI,0.205117,丁,亥,火,水,水
2020-12,801050.SI,0.061109,戊,子,土,水,水
2021-01,801050.SI,0.039144,己,丑,土,土,土
2021-02,801050.SI,0.066796,庚,寅,金,木,木
2021-03,801050.SI,-0.1021,辛,卯,金,木,木
2021-04,801050.SI,0.090134,壬,辰,水,土,土
2021-05,801050.SI,0.084208,癸,巳,水,火,火
2021-06,801050.SI,-0.043869,甲,午,木,火,火
2021-07,801050.SI,0.274016,乙,未,木,土,土
2021-08,801050.SI,0.179999,丙,申,火,金,金
2021-09,801050.SI,-0.18111,丁,酉,火,金,金
2021-10,801050.SI,-0.006223,戊,戌,土,土,土
2021-11,801050.SI,0.088419,己,亥,土,水,水
2021-12,801050.SI,-0.062155,庚,子,金,水,水
2022-01,801050.SI,-0.107375,辛,丑,金,土,土
2022-02,801050.SI,0.171758,壬,寅,水,木,木
2022-03,801050.SI,-0.126105,癸,卯,水,木,木
2022-04,801050.SI,-0.116472,甲,辰,木,土,土
2022-05,801050.SI,0.079828,乙,巳,木,火,火
2022-06,801050.SI,0.119641,丙,午,火,火,火
2022-07,801050.SI,-0.016248,丁,未,火,土,土
2022-08,801050.SI,-0.064822,戊,申,土,金,金
2022-09,801050.SI,-0.090621,己,酉,土,金,金
