month,ts_code,return,heavenly_stem,earthly_branch,stem_wuxing,branch_wuxing,month_wuxing
2014-02,801730.SI,,丙,寅,火,木,木
2014-03,801730.SI,-0.083404,丁,卯,火,木,木
2014-04,801730.SI,-0.032965,戊,辰,土,土,土
2014-05,801730.SI,0.002615,己,巳,土,火,火
2014-06,801730.SI,0.048245,庚,午,金,火,火
2014-07,801730.SI,0.082644,辛,未,金,土,土
2014-08,801730.SI,0.044245,壬,申,水,金,金
2014-09,801730.SI,0.11568,癸,酉,水,金,金
2014-10,801730.SI,-0.010017,甲,戌,木,土,土
2014-11,801730.SI,0.033142,乙,亥,木,水,水
2014-12,801730.SI,-0.033743,丙,子,火,水,水
2015-01,801730.SI,0.085849,丁,丑,火,土,土
2015-02,801730.SI,0.057924,戊,寅,土,木,木
2015-03,801730.SI,0.241028,己,卯,土,木,木
2015-04,801730.SI,0.179255,庚,辰,金,土,土
2015-05,801730.SI,0.234895,辛,巳,金,火,火
2015-06,801730.SI,-0.1426,壬,午,水,火,火
2015-07,801730.SI,-0.151968,癸,未,水,土,土
2015-08,801730.SI,-0.136202,甲,申,木,金,金
2015-09,801730.SI,-0.054436,乙,酉,木,金,金
2015-10,801730.SI,0.192443,丙,戌,火,土,土
2015-11,801730.SI,0.058909,丁,亥,火,水,水
2015-12,801730.SI,0.030731,戊,子,土,水,水
2016-01,801730.SI,-0.290879,己,丑,土,土,土
2016-02,801730.SI,-0.04176,庚,寅,金,木,木
2016-03,801730.SI,0.188205,辛,卯,金,木,木
2016-04,801730.SI,-0.010365,壬,辰,水,土,土
2016-05,801730.SI,-0.020359,癸,巳,水,火,火
2016-06,801730.SI,0.072028,甲,午,木,火,火
2016-07,801730.SI,-0.026911,乙,未,木,土,土
2016-08,801730.SI,0.032332,丙,申,火,金,金
2016-09,801730.SI,-0.024415,丁,酉,火,金,金
2016-10,801730.SI,0.026429,戊,戌,土,土,土
2016-11,801730.SI,0.020441,己,亥,土,水,水
2016-12,801730.SI,-0.038539,庚,子,金,水,水
2017-01,801730.SI,-0.023386,辛,丑,金,土,土
2017-02,801730.SI,0.034079,壬,寅,水,木,木
2017-03,801730.SI,-0.002809,癸,卯,水,木,木
2017-04,801730.SI,-0.053033,甲,辰,木,土,土
2017-05,801730.SI,-0.077483,乙,巳,木,火,火
2017-06,801730.SI,0.035513,丙,午,火,火,火
2017-07,801730.SI,-0.000799,丁,未,火,土,土
2017-08,801730.SI,0.024352,戊,申,土,金,金
2017-09,801730.SI,0.048067,己,酉,土,金,金
2017-10,801730.SI,-0.007256,庚,戌,金,土,土
2017-11,801730.SI,-0.053882,辛,亥,金,水,水
2017-12,801730.SI,-0.002706,壬,子,水,水,水
2018-01,801730.SI,-0.050936,癸,丑,水,土,土
2018-02,801730.SI,-0.037731,甲,寅,木,木,木
2018-03,801730.SI,0.04278,乙,卯,木,木,木
2018-04,801730.SI,-0.046769,丙,辰,火,土,土
2018-05,801730.SI,-0.058825,丁,巳,火,火,火
2018-06,801730.SI,-0.120778,戊,午,土,火,火
2018-07,801730.SI,-0.013656,己,未,土,土,土
2018-08,801730.SI,-0.086582,庚,申,金,金,金
2018-09,801730.SI,0.025245,辛,酉,金,金,金
2018-10,801730.SI,-0.097564,壬,戌,水,土,土
2018-11,801730.SI,0.067981,癸,亥,水,水,水
2018-12,801730.SI,-0.02721,甲,子,木,水,水
2019-01,801730.SI,0.042638,乙,丑,木,土,土
2019-02,801730.SI,0.170774,丙,寅,火,木,木
2019-03,801730.SI,0.074866,丁,卯,火,木,木
2019-04,801730.SI,-0.050819,戊,辰,土,土,土
2019-05,801730.SI,-0.058315,己,巳,土,火,火
2019-06,801730.SI,-0.013668,庚,午,金,火,火
2019-07,801730.SI,0.0064,辛,未,金,土,土
2019-08,801730.SI,-0.014014,壬,申,水,金,金
