month,ts_code,return,heavenly_stem,earthly_branch,stem_wuxing,branch_wuxing,month_wuxing
2010-01,801950.SI,,丁,丑,火,土,土
2010-02,801950.SI,0.013845,戊,寅,土,木,木
2010-03,801950.SI,0.033802,己,卯,土,木,木
2010-04,801950.SI,-0.032758,庚,辰,金,土,土
2010-05,801950.SI,-0.121923,辛,巳,金,火,火
2010-06,801950.SI,-0.150088,壬,午,水,火,火
2010-07,801950.SI,0.181043,癸,未,水,土,土
2010-08,801950.SI,0.0249,甲,申,木,金,金
2010-09,801950.SI,-0.001407,乙,酉,木,金,金
2010-10,801950.SI,0.307094,丙,戌,火,土,土
2010-11,801950.SI,-0.132736,丁,亥,火,水,水
2010-12,801950.SI,0.06207,戊,子,土,水,水
2011-01,801950.SI,-0.079862,己,丑,土,土,土
2011-02,801950.SI,0.071969,庚,寅,金,木,木
2011-03,801950.SI,0.037295,辛,卯,金,木,木
2011-04,801950.SI,-0.002505,壬,辰,水,土,土
2011-05,801950.SI,-0.058461,癸,巳,水,火,火
2011-06,801950.SI,0.045366,甲,午,木,火,火
2011-07,801950.SI,-0.001672,乙,未,木,土,土
2011-08,801950.SI,-0.045585,丙,申,火,金,金
2011-09,801950.SI,-0.048882,丁,酉,火,金,金
2011-10,801950.SI,-0.031832,戊,戌,土,土,土
2011-11,801950.SI,-0.072398,己,亥,土,水,水
2011-12,801950.SI,-0.110976,庚,子,金,水,水
2012-01,801950.SI,0.093092,辛,丑,金,土,土
2012-02,801950.SI,0.075357,壬,寅,水,木,木
2012-03,801950.SI,-0.098515,癸,卯,水,木,木
2012-04,801950.SI,0.101196,甲,辰,木,土,土
2012-05,801950.SI,-0.004955,乙,巳,木,火,火
2012-06,801950.SI,-0.173647,丙,午,火,火,火
2012-07,801950.SI,-0.036085,丁,未,火,土,土
2012-08,801950.SI,-0.08052,戊,申,土,金,金
2012-09,801950.SI,0.082406,己,酉,土,金,金
2012-10,801950.SI,-0.043519,庚,戌,金,土,土
2012-11,801950.SI,-0.094066,辛,亥,金,水,水
2012-12,801950.SI,0.193819,壬,子,水,水,水
2013-01,801950.SI,0.040341,癸,丑,水,土,土
2013-02,801950.SI,-0.043748,甲,寅,木,木,木
2013-03,801950.SI,-0.101438,乙,卯,木,木,木
2013-04,801950.SI,-0.078559,丙,辰,火,土,土
2013-05,801950.SI,-0.001718,丁,巳,火,火,火
2013-06,801950.SI,-0.231244,戊,午,土,火,火
2013-07,801950.SI,-0.047113,己,未,土,土,土
2013-08,801950.SI,0.086761,庚,申,金,金,金
2013-09,801950.SI,0.002557,辛,酉,金,金,金
2013-10,801950.SI,-0.054746,壬,戌,水,土,土
2013-11,801950.SI,0.039242,癸,亥,水,水,水
2013-12,801950.SI,-0.110614,甲,子,木,水,水
2014-01,801950.SI,-0.130686,乙,丑,木,土,土
2014-02,801950.SI,-0.042457,丙,寅,火,木,木
2014-03,801950.SI,-0.009858,丁,卯,火,木,木
2014-04,801950.SI,-0.011803,戊,辰,土,土,土
2014-05,801950.SI,0.027414,己,巳,土,火,火
2014-06,801950.SI,-0.005159,庚,午,金,火,火
2014-07,801950.SI,0.142377,辛,未,金,土,土
2014-08,801950.SI,0.00514,壬,申,水,金,金
