month,ts_code,return,heavenly_stem,earthly_branch,stem_wuxing,branch_wuxing,month_wuxing
2012-08,801030.SI,,戊,申,土,金,金
2012-09,801030.SI,0.025185,己,酉,土,金,金
2012-10,801030.SI,0.001825,庚,戌,金,土,土
2012-11,801030.SI,-0.117553,辛,亥,金,水,水
2012-12,801030.SI,0.159524,壬,子,水,水,水
2013-01,801030.SI,0.084429,癸,丑,水,土,土
2013-02,801030.SI,0.038034,甲,寅,木,木,木
2013-03,801030.SI,-0.00629,乙,卯,木,木,木
2013-04,801030.SI,-0.050986,丙,辰,火,土,土
2013-05,801030.SI,0.089658,丁,巳,火,火,火
2013-06,801030.SI,-0.155438,戊,午,土,火,火
2013-07,801030.SI,0.016571,己,未,土,土,土
2013-08,801030.SI,0.057956,庚,申,金,金,金
2013-09,801030.SI,0.017136,辛,酉,金,金,金
2013-10,801030.SI,-0.019082,壬,戌,水,土,土
2013-11,801030.SI,0.061435,癸,亥,水,水,水
2013-12,801030.SI,-0.042546,甲,子,木,水,水
2014-01,801030.SI,-0.040668,乙,丑,木,土,土
2014-02,801030.SI,0.040338,丙,寅,火,木,木
2014-03,801030.SI,-0.008256,丁,卯,火,木,木
2014-04,801030.SI,-0.037537,戊,辰,土,土,土
2014-05,801030.SI,0.005379,己,巳,土,火,火
2014-06,801030.SI,0.032177,庚,午,金,火,火
2014-07,801030.SI,0.077467,辛,未,金,土,土
2014-08,801030.SI,0.044139,壬,申,水,金,金
2014-09,801030.SI,0.103484,癸,酉,水,金,金
2014-10,801030.SI,0.009036,甲,戌,木,土,土
2014-11,801030.SI,0.040683,乙,亥,木,水,水
2014-12,801030.SI,-0.011547,丙,子,火,水,水
2015-01,801030.SI,0.075319,丁,丑,火,土,土
2015-02,801030.SI,0.059705,戊,寅,土,木,木
2015-03,801030.SI,0.1743,己,卯,土,木,木
2015-04,801030.SI,0.166187,庚,辰,金,土,土
2015-05,801030.SI,0.199149,辛,巳,金,火,火
2015-06,801030.SI,-0.090193,壬,午,水,火,火
2015-07,801030.SI,-0.165423,癸,未,水,土,土
2015-08,801030.SI,-0.136398,甲,申,木,金,金
2015-09,801030.SI,-0.064241,乙,酉,木,金,金
2015-10,801030.SI,0.173233,丙,戌,火,土,土
2015-11,801030.SI,0.093776,丁,亥,火,水,水
2015-12,801030.SI,0.051965,戊,子,土,水,水
2016-01,801030.SI,-0.277195,己,丑,土,土,土
2016-02,801030.SI,-0.010884,庚,寅,金,木,木
2016-03,801030.SI,0.162202,辛,卯,金,木,木
2016-04,801030.SI,-0.003626,壬,辰,水,土,土
2016-05,801030.SI,-0.027427,癸,巳,水,火,火
2016-06,801030.SI,0.05237,甲,午,木,火,火
2016-07,801030.SI,0.010108,乙,未,木,土,土
2016-08,801030.SI,0.04036,丙,申,火,金,金
2016-09,801030.SI,-0.002958,丁,酉,火,金,金
2016-10,801030.SI,0.029395,戊,戌,土,土,土
2016-11,801030.SI,0.029497,己,亥,土,水,水
2016-12,801030.SI,-0.012939,庚,子,金,水,水
2017-01,801030.SI,-0.016513,辛,丑,金,土,土
2017-02,801030.SI,0.032921,壬,寅,水,木,木
2017-03,801030.SI,-0.011027,癸,卯,水,木,木
2017-04,801030.SI,-0.049852,甲,辰,木,土,土
2017-05,801030.SI,-0.065249,乙,巳,木,火,火
2017-06,801030.SI,0.049231,丙,午,火,火,火
2017-07,801030.SI,0.055576,丁,未,火,土,土
2017-08,801030.SI,0.002284,戊,申,土,金,金
2017-09,801030.SI,0.023825,己,酉,土,金,金
2017-10,801030.SI,-0.020268,庚,戌,金,土,土
2017-11,801030.SI,-0.032848,辛,亥,金,水,水
2017-12,801030.SI,0.001046,壬,子,水,水,水
2018-01,801030.SI,0.005575,癸,丑,水,土,土
